bgrid,bgrname,bgrseverity,bgrassignedto,bgrreportedby,bgrreportedon,bgrstatus,bgrenvironment,bgrdesc
bgrid891,Incorrect assumptions of a particular platform,medium,Caleb8,Caleb29,9/8/2015,in progress,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid892,Infinite loops ,low,Caleb45,Caleb1,5/5/2016,in progress,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid893,infinite recursionIncorrect protocol implementation,medium,Caleb7,Caleb2,4/5/2016,fixed,UTE,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid894,Differences between documentation and product,medium,Caleb47,Caleb1,11/7/2015,fixed,UTE,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid895,Arithmetic overflow,high,Caleb47,Caleb46,1/6/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid896,Unpropagated updates,medium,Caleb2,Caleb2,9/8/2015,fixed,Dev,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid897,infinite recursionIncorrect protocol implementation,low,Caleb2,Caleb2,11/7/2015,not started,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid898,infinite recursionIncorrect protocol implementation,medium,Caleb1,Caleb2,2/5/2016,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid899,Infinite loops ,high,Caleb1,Caleb2,5/5/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid900,Unpropagated updates,medium,Caleb1,Caleb38,12/7/2015,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid901,Unpropagated updates,medium,Caleb1,Caleb7,6/4/2016,in progress,Sbx,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid902,Incompatible systems,high,Caleb5,Caleb2,2/5/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid903,Incompatible systems,medium,Caleb42,Caleb2,1/6/2016,not started,UTE,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid904,Infinite loops ,high,Caleb11,Caleb2,11/7/2015,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid905,Incompatible systems,medium,Caleb2,Caleb2,4/5/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid906,Arithmetic overflow,medium,Caleb10,Caleb2,2/5/2016,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid907,Incompatible systems,high,Caleb21,Caleb16,11/7/2015,in progress,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid908,Differences between documentation and product,low,Caleb2,Caleb7,2/5/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid909,infinite recursionIncorrect protocol implementation,low,Caleb2,Caleb1,9/8/2015,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid910,Division by zero.,high,Caleb2,Caleb2,3/6/2016,fixed,Test,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid911,Differences between documentation and product,high,Caleb1,Caleb26,5/5/2016,fixed,UTE,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid912,Arithmetic overflow,medium,Caleb3,Caleb1,6/4/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid913,Differences between documentation and product,medium,Caleb33,Caleb10,5/5/2016,fixed,Sbx,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid914,Unpropagated updates,low,Caleb26,Caleb18,5/5/2016,in progress,Sbx,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid915,Unpropagated updates,low,Caleb1,Caleb18,4/5/2016,in progress,Sbx,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid916,Incorrect assumptions of a particular platform,medium,Caleb1,Caleb2,1/6/2016,in progress,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid917,Incorrect hardware handling,medium,Caleb47,Caleb42,3/6/2016,in progress,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid918,Infinite loops ,medium,Caleb2,Caleb2,3/6/2016,in progress,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid919,Incompatible systems,medium,Caleb1,Caleb38,9/8/2015,in progress,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid920,infinite recursionIncorrect protocol implementation,medium,Caleb35,Caleb41,6/4/2016,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid921,Incompatible systems,medium,Caleb36,Caleb12,12/7/2015,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid922,Division by zero.,medium,Caleb1,Caleb1,5/5/2016,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid923,infinite recursionIncorrect protocol implementation,medium,Caleb1,Caleb1,2/5/2016,in progress,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid924,Incompatible systems,high,Caleb2,Caleb28,4/5/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid925,Unpropagated updates,low,Caleb2,Caleb1,6/4/2016,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid926,Unpropagated updates,high,Caleb2,Caleb32,9/8/2015,fixed,Act,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid927,Incorrect hardware handling,medium,Caleb1,Caleb2,2/5/2016,not started,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid928,Unpropagated updates,medium,Caleb11,Caleb36,12/7/2015,in progress,UTE,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid929,Incorrect assumptions of a particular platform,medium,Caleb2,Caleb1,6/4/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid930,Infinite loops ,medium,Caleb2,Caleb42,3/6/2016,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid931,Differences between documentation and product,high,Caleb2,Caleb2,9/8/2015,not started,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid932,Incorrect hardware handling,low,Caleb2,Caleb2,2/5/2016,in progress,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid933,Incorrect hardware handling,high,Caleb1,Caleb2,12/7/2015,in progress,Test,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid934,Infinite loops ,high,Caleb2,Caleb2,11/7/2015,not started,Sbx,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid935,Differences between documentation and product,low,Caleb7,Caleb1,9/8/2015,in progress,Dev,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid936,Incorrect assumptions of a particular platform,low,Caleb1,Caleb2,9/8/2015,in progress,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid937,Unpropagated updates,low,Caleb1,Caleb18,12/7/2015,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid938,infinite recursionIncorrect protocol implementation,low,Caleb2,Caleb1,6/4/2016,in progress,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid939,Incorrect hardware handling,high,Caleb2,Caleb1,9/8/2015,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid940,Incorrect hardware handling,medium,Caleb46,Caleb2,4/5/2016,in progress,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid941,Incompatible systems,medium,Caleb9,Caleb2,10/8/2015,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid942,Infinite loops ,medium,Caleb1,Caleb2,9/8/2015,fixed,Test,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid943,infinite recursionIncorrect protocol implementation,medium,Caleb2,Caleb6,1/6/2016,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid944,Infinite loops ,medium,Caleb1,Caleb2,2/5/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid945,infinite recursionIncorrect protocol implementation,medium,Caleb1,Caleb16,2/5/2016,in progress,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid946,Incorrect assumptions of a particular platform,high,Caleb1,Caleb2,2/5/2016,in progress,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid947,infinite recursionIncorrect protocol implementation,high,Caleb2,Caleb2,10/8/2015,fixed,Act,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid948,Incorrect assumptions of a particular platform,high,Caleb48,Caleb18,4/5/2016,not started,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid949,Incorrect hardware handling,medium,Caleb1,Caleb2,12/7/2015,fixed,Dev,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid950,infinite recursionIncorrect protocol implementation,high,Caleb1,Caleb1,3/6/2016,not started,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid951,Infinite loops ,low,Caleb2,Caleb30,1/6/2016,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid952,Incorrect hardware handling,low,Caleb2,Caleb1,1/6/2016,not started,Act,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid953,Division by zero.,low,Caleb39,Caleb15,12/7/2015,not started,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid954,Infinite loops ,high,Caleb2,Caleb35,5/5/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid955,Incorrect assumptions of a particular platform,high,Caleb2,Caleb1,12/7/2015,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid956,Incorrect hardware handling,low,Caleb1,Caleb29,10/8/2015,not started,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid957,Infinite loops ,high,Caleb2,Caleb2,1/6/2016,not started,Dev,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid958,Arithmetic overflow,medium,Caleb1,Caleb8,11/7/2015,not started,Act,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid959,Infinite loops ,low,Caleb28,Caleb1,4/5/2016,in progress,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid960,infinite recursionIncorrect protocol implementation,low,Caleb1,Caleb1,4/5/2016,in progress,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid961,Differences between documentation and product,medium,Caleb1,Caleb29,9/8/2015,in progress,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid962,Incorrect hardware handling,low,Caleb2,Caleb1,3/6/2016,not started,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid963,Arithmetic overflow,medium,Caleb2,Caleb2,6/4/2016,fixed,Act,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid964,Arithmetic overflow,low,Caleb2,Caleb1,5/5/2016,in progress,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid965,Incorrect assumptions of a particular platform,high,Caleb1,Caleb30,12/7/2015,fixed,Dev,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid966,Incorrect hardware handling,low,Caleb1,Caleb25,5/5/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid967,Unpropagated updates,high,Caleb33,Caleb1,11/7/2015,fixed,Sbx,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid968,Incompatible systems,high,Caleb2,Caleb2,4/5/2016,in progress,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid969,Division by zero.,medium,Caleb2,Caleb37,12/7/2015,in progress,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid970,Infinite loops ,medium,Caleb31,Caleb1,10/8/2015,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid971,Division by zero.,low,Caleb1,Caleb2,5/5/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid972,infinite recursionIncorrect protocol implementation,medium,Caleb1,Caleb18,12/7/2015,not started,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid973,Arithmetic overflow,low,Caleb1,Caleb21,11/7/2015,not started,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid974,Division by zero.,high,Caleb1,Caleb1,5/5/2016,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid975,Unpropagated updates,low,Caleb1,Caleb2,4/5/2016,in progress,Test,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid976,infinite recursionIncorrect protocol implementation,low,Caleb2,Caleb45,3/6/2016,in progress,Act,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid977,Incorrect hardware handling,medium,Caleb1,Caleb1,12/7/2015,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid978,Incorrect hardware handling,high,Caleb4,Caleb1,10/8/2015,in progress,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid979,Division by zero.,medium,Caleb1,Caleb2,2/5/2016,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid980,Incorrect assumptions of a particular platform,high,Caleb46,Caleb2,10/8/2015,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid981,Incompatible systems,medium,Caleb1,Caleb1,6/4/2016,not started,Test,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid982,Incompatible systems,low,Caleb2,Caleb2,9/8/2015,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid983,Incorrect hardware handling,medium,Caleb26,Caleb2,1/6/2016,in progress,Test,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid984,Division by zero.,low,Caleb1,Caleb1,10/8/2015,fixed,Dev,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid985,Incorrect assumptions of a particular platform,medium,Caleb2,Caleb2,11/7/2015,fixed,Act,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid986,Division by zero.,high,Caleb2,Caleb2,2/5/2016,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid987,Division by zero.,low,Caleb1,Caleb2,5/5/2016,in progress,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid988,Infinite loops ,low,Caleb2,Caleb2,9/8/2015,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid989,Incorrect hardware handling,medium,Caleb2,Caleb31,3/6/2016,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid990,Unpropagated updates,low,Caleb2,Caleb1,5/5/2016,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid991,infinite recursionIncorrect protocol implementation,high,Caleb1,Caleb1,4/5/2016,fixed,Act,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid992,Arithmetic overflow,low,Caleb2,Caleb1,6/4/2016,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid993,infinite recursionIncorrect protocol implementation,low,Caleb4,Caleb1,1/6/2016,in progress,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid994,Infinite loops ,high,Caleb2,Caleb1,3/6/2016,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid995,Incompatible systems,high,Caleb1,Caleb37,5/5/2016,fixed,UTE,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid996,Incorrect hardware handling,medium,Caleb8,Caleb2,10/8/2015,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid997,Infinite loops ,high,Caleb40,Caleb22,6/4/2016,in progress,Dev,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid998,Incorrect assumptions of a particular platform,high,Caleb22,Caleb6,11/7/2015,in progress,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid999,Incorrect hardware handling,medium,Caleb1,Caleb9,6/4/2016,not started,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid1000,Unpropagated updates,low,Caleb19,Caleb2,10/8/2015,not started,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid1001,Arithmetic overflow,high,Caleb23,Caleb36,3/6/2016,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid1002,Infinite loops ,high,Caleb2,Caleb4,3/6/2016,in progress,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid1003,Arithmetic overflow,medium,Caleb2,Caleb2,2/5/2016,in progress,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid1004,Infinite loops ,low,Caleb6,Caleb28,5/5/2016,in progress,Sbx,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid1005,Division by zero.,low,Caleb1,Caleb15,10/8/2015,in progress,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid1006,Differences between documentation and product,medium,Caleb17,Caleb2,4/5/2016,in progress,Sbx,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid1007,Arithmetic overflow,low,Caleb6,Caleb2,10/8/2015,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid1008,Differences between documentation and product,high,Caleb2,Caleb1,3/6/2016,in progress,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid1009,Incorrect assumptions of a particular platform,medium,Caleb43,Caleb13,10/8/2015,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid1010,Incorrect hardware handling,high,Caleb2,Caleb1,12/7/2015,fixed,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid1011,Infinite loops ,medium,Caleb1,Caleb26,9/8/2015,not started,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid1012,Infinite loops ,low,Caleb2,Caleb2,11/7/2015,in progress,UTE,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid1013,infinite recursionIncorrect protocol implementation,low,Caleb2,Caleb2,2/5/2016,fixed,Dev,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid1014,Unpropagated updates,low,Caleb1,Caleb45,6/4/2016,fixed,Dev,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid1015,Division by zero.,medium,Caleb1,Caleb1,9/8/2015,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid1016,Incompatible systems,high,Caleb13,Caleb25,5/5/2016,fixed,UTE,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid1017,Incorrect assumptions of a particular platform,medium,Caleb1,Caleb9,12/7/2015,not started,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid1018,Unpropagated updates,medium,Caleb34,Caleb38,2/5/2016,in progress,Act,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid1019,Incorrect assumptions of a particular platform,low,Caleb2,Caleb4,11/7/2015,fixed,Prod,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid1020,infinite recursionIncorrect protocol implementation,low,Caleb2,Caleb1,10/8/2015,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid1021,Incorrect hardware handling,high,Caleb9,Caleb1,4/5/2016,fixed,Prod,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid1022,Incorrect assumptions of a particular platform,low,Caleb16,Caleb2,11/7/2015,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid1023,Incompatible systems,high,Caleb42,Caleb1,4/5/2016,fixed,Prod,Another category of bug is called a race condition that may occur when programs have multiple components executing at the same time.
bgrid1024,Arithmetic overflow,medium,Caleb1,Caleb11,6/4/2016,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid1025,Incorrect assumptions of a particular platform,medium,Caleb1,Caleb1,12/7/2015,fixed,Act,"Or when converting an abstract design into code, the coder might inadvertently create an off-by-one error and fail to sort the last word in the list. Errors may be as simple as a typing error: a ""<"" where a "">"" was intended."
bgrid1026,Division by zero.,medium,Caleb2,Caleb2,4/5/2016,in progress,Test,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid1027,Incorrect hardware handling,high,Caleb44,Caleb40,1/6/2016,not started,Prod,"For example, a relatively simple program to alphabetize a list of words, the design might fail to consider what should happen when a word contains a hyphen. "
bgrid1028,Arithmetic overflow,high,Caleb1,Caleb2,10/8/2015,fixed,UTE,"These bugs may be difficult to detect or anticipate, since they may not occur during every execution of a program."
bgrid1029,Incompatible systems,high,Caleb1,Caleb1,4/5/2016,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
bgrid1030,Incorrect hardware handling,low,Caleb1,Caleb1,2/5/2016,fixed,Prod,"In software development projects, a ""mistake"" or ""fault"" may be introduced at any stage. Bugs arise from oversights or misunderstandings made by a software team during specification, design, coding, data entry or documentation."
